groupid,runid,profile,context,rank,title,description,url,docId
group44,run44a,724,101,38,Merchandise Mart,description,http://www.mmart.com/,
group44,run44a,724,101,39,Museum of Science & Industry,description,http://www.msichicago.org/,
group44,run44a,724,101,40,Steppenwolf Theatre,description,http://www.steppenwolf.org/,
group44,run44a,724,101,41,Garfield Park Conservatory,description,http://www.garfieldconservatory.org/,
group44,run44a,724,101,42,Chicago White Sox,description,http://www.whitesox.com/,
group44,run44a,724,101,43,Chicago Theatre,description,http://www.thechicagotheatre.com/,
group44,run44a,724,101,44,Moody Church,description,http://www.moodychurch.org/,
group44,run44a,724,101,45,Kuma???s Corner,description,http://www.kumascorner.com/,
group44,run44a,724,101,46,Chicago Cubs,description,http://www.cubs.com/,
group44,run44a,724,101,47,Magnificent Mile,description,http://www.themagnificentmile.com/,
group44,run44a,724,101,48,Neo,description,http://www.neodanceclub.com,
group44,run44a,724,101,49,Rory Lake???s Karaoke Dreams,description,http://www.rorylakepresents.com/Karaoke_Dreams.html,
group44,run44a,724,101,50,Santa Fe Opera,description,http://www.santafeopera.org,
group44,run44a,724,102,1,Georgia O'Keeffe Museum,description,http://www.okeeffemuseum.org/,
group44,run44a,724,102,2,Santa Fe Indian Market,description,http://www.swaia.org/,
group44,run44a,724,102,3,Cafe Pasqual's,description,http://www.pasquals.com/,
group44,run44a,724,102,4,Coyote Caf??,description,http://www.coyotecafe.com/,
group44,run44a,724,102,5,San Marcos Caf??,description,http://www.sanmarcosfeed.com/,
group44,run44a,724,102,6,El Farol,description,http://www.elfarolsf.com/,
group44,run44a,724,102,7,New Wave Rafting Co,description,http://www.newwaverafting.com/,
group44,run44a,724,102,8,Ski Santa Fe,description,http://www.skisantafe.com/,
group44,run44a,724,102,9,Loretto Chapel,description,http://www.lorettochapel.com/,
group44,run44a,724,102,10,St Francis Cathedral,description,http://www.cbsfa.org/,
group44,run44a,724,102,11,Rancho de las Golondrinas,description,http://www.golondrinas.org/,
group44,run44a,724,102,12,Palace of the Governors,description,http://www.palaceofthegovernors.org/,
group44,run44a,724,102,13,Museum of Fine Arts,description,http://www.museumofnewmexico.org/,
group44,run44a,724,102,14,Museum of International Folk Art,description,http://www.internationalfolkart.org/,
group44,run44a,724,102,15,New Mexico Museum of Art,description,http://www.nmartmuseum.org/,
group44,run44a,724,102,16,Morning Star Gallery,description,http://www.morningstargallery.com/,
group44,run44a,724,102,17,Santa Fe Southern Railway,description,http://www.sfsr.com/,
group44,run44a,724,102,18,"A Well-Born Guide/Have PhD, Will Travel",description,http://www.swguides.com/,
group44,run44a,724,102,19,Compound,description,http://www.compoundrestaurant.com/,
group44,run44a,724,102,20,High Desert Angler,description,http://www.highdesertangler.com/,
group44,run44a,724,102,21,SITE Santa Fe,description,http://www.sitesantafe.org/,
group44,run44a,724,102,22,Shidoni Foundry,description,http://www.shidoni.com/,
group44,run44a,724,102,23,Cowgirl,description,http://www.cowgirlsantafe.com/,
group44,run44a,724,102,24,Santacaf??,description,http://www.santacafe.com/,
group44,run44a,724,102,25,Second Street Brewery,description,http://www.secondstreetbrewery.com/,
group44,run44a,724,102,26,Tesuque Village Market,description,http://www.tesuquevillagemarket.com/,
group44,run44a,724,102,27,Canyon Rd,description,http://www.canyonroadarts.com/,
group44,run44a,724,102,28,Ristra,description,http://www.ristrarestaurant.com/,
group44,run44a,724,102,29,Gerald Peters Gallery,description,http://www.gpgallery.com/,
group44,run44a,724,102,30,Namb?? Foundry Outlet,description,http://www.nambe.com/,
group44,run44a,724,102,31,Travel Bug,description,http://www.mapsofnewmexico.com/,
group44,run44a,724,102,32,Seret & Sons,description,http://www.seretandsons.com/,
group44,run44a,724,102,33,Nedra Matteucci Galleries,description,http://www.matteucci.com/,
group44,run44a,724,102,34,Museum of Contemporary Native Arts,description,http://www.iaia.edu/museum,
group44,run44a,724,102,35,Santa Fe Chamber Music Festival,description,http://www.sfcmf.org/,
group44,run44a,724,102,36,Jackalope,description,http://www.jackalope.com/,
group44,run44a,724,102,37,Santa Fe Baking Company,description,http://www.santafebakingcompanycafe.com/,
group44,run44a,724,102,38,Wheelwright Museum of the American Indian,description,http://www.wheelwright.org/,
group44,run44a,724,102,39,Santa Fe Clay,description,http://www.santafeclay.com/,
group44,run44a,724,102,40,Ten Thousand Waves,description,http://www.tenthousandwaves.com/,
group44,run44a,724,102,41,Rodeo de Santa Fe,description,http://www.rodeodesantafe.org/,
group44,run44a,724,102,42,Santa Fe Desert Chorale,description,http://www.desertchorale.org/,
group44,run44a,724,102,43,Harry's Roadhouse,description,http://www.harrysroadhousesantafe.com/,
group44,run44a,724,102,44,Kowboyz,description,http://www.kowboyz.com/,
group44,run44a,724,102,45,Nathalie,description,http://www.nathaliesantafe.com/,
group44,run44a,724,102,46,Tea House,description,http://www.teahousesantafe.com/,
group44,run44a,724,102,47,The Den,description,http://www.coyotecafe.com,
group44,run44a,724,102,48,Del Charro Saloon,description,http://delcharro.com,
group44,run44a,724,102,49,Jambo Cafe,description,http://www.jambocafe.net,
group44,run44a,724,102,50,Ballroom Dance Chicago,description,http://www.ballroomdancechicago.com,
group44,run44a,725,101,1,Millennium Park,description,http://www.millenniumpark.org/,
group44,run44a,725,101,2,Topolobampo/Frontera Grill,description,http://www.rickbayless.com/,
group44,run44a,725,101,3,Alinea,description,http://www.alinearestaurant.com/,
group44,run44a,725,101,4,Willis Tower,description,http://www.the-skydeck.com/,
group44,run44a,725,101,5,Billy Goat Tavern,description,http://www.billygoattavern.com/,
group44,run44a,725,101,6,Hot Doug's,description,http://www.hotdougs.com/,
group44,run44a,725,101,7,Little Goat,description,http://www.littlegoatchicago.com/,
group44,run44a,725,101,8,Art Institute of Chicago,description,http://www.artic.edu/,
group44,run44a,725,101,9,Longman & Eagle,description,http://www.longmanandeagle.com/,
group44,run44a,725,101,10,Navy Pier,description,http://www.navypier.com/,
group44,run44a,725,101,11,Sweet Maple Cafe,description,http://www.sweetmaplecafe.com/,
group44,run44a,725,101,12,Hoosier Mama Pie Company,description,http://www.hoosiermamapie.com/,
group44,run44a,725,101,13,Logan Hardware,description,http://www.logan-hardware.com/,
group44,run44a,725,101,14,Hopleaf,description,http://www.hopleaf.com/,
group44,run44a,725,101,15,Signature Lounge,description,http://www.signatureroom.com/,
group44,run44a,725,101,16,John Hancock Center,description,http://www.jhochicago.com/,
group44,run44a,725,101,17,Ruxbin,description,http://www.ruxbinchicago.com/,
group44,run44a,725,101,18,Hideout,description,http://www.hideoutchicago.com/,
group44,run44a,725,101,19,Lou Mitchell's,description,http://www.loumitchellsrestaurant.com/,
group44,run44a,725,101,20,Andy's Thai Kitchen,description,http://www.andysthaikitchen.com/,
group44,run44a,725,101,21,Crisp,description,http://www.crisponline.com/,
group44,run44a,725,101,22,Green Mill,description,http://www.greenmilljazz.com/,
group44,run44a,725,101,23,Old Town Ale House,description,http://www.theoldtownalehouse.com/,
group44,run44a,725,101,24,Buddy Guy's Legends,description,http://www.buddyguys.com/,
group44,run44a,725,101,25,Adler Planetarium & Astronomy Museum,description,http://www.adlerplanetarium.org/,
group44,run44a,725,101,26,Metro,description,http://www.metrochicago.com/,
group44,run44a,725,101,27,Clark Street Ale House,description,http://www.clarkstreetalehouse.com/,
group44,run44a,725,101,28,Shedd Aquarium,description,http://www.sheddaquarium.org/,
group44,run44a,725,101,29,Field Museum of Natural History,description,http://www.fieldmuseum.org/,
group44,run44a,725,101,30,Humboldt Park,description,http://www.chicagoparkdistrict.com/,
group44,run44a,725,101,31,Lincoln Park Zoo,description,http://www.lpzoo.org/,
group44,run44a,725,101,32,Willie Dixon's Blues Heaven,description,http://www.bluesheaven.com/,
group44,run44a,725,101,33,Chicago Cultural Center,description,http://www.chicagoculturalcenter.org/,
group44,run44a,725,101,34,Graceland Cemetery,description,http://www.gracelandcemetery.org/,
group44,run44a,725,101,35,River North Galleries,description,http://www.chicagoartdealers.org/,
group44,run44a,725,101,36,Holy Name Cathedral,description,http://www.holynamecathedral.org/,
group44,run44a,725,101,37,National Museum of Mexican Art,description,http://www.nationalmuseumofmexicanart.org/,
group44,run44a,725,101,38,Merchandise Mart,description,http://www.mmart.com/,
group44,run44a,725,101,39,Museum of Science & Industry,description,http://www.msichicago.org/,
group44,run44a,725,101,40,Steppenwolf Theatre,description,http://www.steppenwolf.org/,
group44,run44a,725,101,41,Garfield Park Conservatory,description,http://www.garfieldconservatory.org/,
group44,run44a,725,101,42,Chicago White Sox,description,http://www.whitesox.com/,
group44,run44a,725,101,43,Chicago Theatre,description,http://www.thechicagotheatre.com/,
group44,run44a,725,101,44,Moody Church,description,http://www.moodychurch.org/,
group44,run44a,725,101,45,Kuma???s Corner,description,http://www.kumascorner.com/,
group44,run44a,725,101,46,Chicago Cubs,description,http://www.cubs.com/,
group44,run44a,725,101,47,Magnificent Mile,description,http://www.themagnificentmile.com/,
group44,run44a,725,101,48,Neo,description,http://www.neodanceclub.com,
group44,run44a,725,101,49,Rory Lake???s Karaoke Dreams,description,http://www.rorylakepresents.com/Karaoke_Dreams.html,
group44,run44a,725,101,50,Santa Fe Opera,description,http://www.santafeopera.org,
group44,run44a,725,102,1,Georgia O'Keeffe Museum,description,http://www.okeeffemuseum.org/,
group44,run44a,725,102,2,Santa Fe Indian Market,description,http://www.swaia.org/,
group44,run44a,725,102,3,Cafe Pasqual's,description,http://www.pasquals.com/,
group44,run44a,725,102,4,Coyote Caf??,description,http://www.coyotecafe.com/,
group44,run44a,725,102,5,San Marcos Caf??,description,http://www.sanmarcosfeed.com/,
group44,run44a,725,102,6,El Farol,description,http://www.elfarolsf.com/,
group44,run44a,725,102,7,New Wave Rafting Co,description,http://www.newwaverafting.com/,
group44,run44a,725,102,8,Ski Santa Fe,description,http://www.skisantafe.com/,
group44,run44a,725,102,9,Loretto Chapel,description,http://www.lorettochapel.com/,
group44,run44a,725,102,10,St Francis Cathedral,description,http://www.cbsfa.org/,
group44,run44a,725,102,11,Rancho de las Golondrinas,description,http://www.golondrinas.org/,
group44,run44a,725,102,12,Palace of the Governors,description,http://www.palaceofthegovernors.org/,
group44,run44a,725,102,13,Museum of Fine Arts,description,http://www.museumofnewmexico.org/,
group44,run44a,725,102,14,Museum of International Folk Art,description,http://www.internationalfolkart.org/,
group44,run44a,725,102,15,New Mexico Museum of Art,description,http://www.nmartmuseum.org/,
group44,run44a,725,102,16,Morning Star Gallery,description,http://www.morningstargallery.com/,
group44,run44a,725,102,17,Santa Fe Southern Railway,description,http://www.sfsr.com/,
group44,run44a,725,102,18,"A Well-Born Guide/Have PhD, Will Travel",description,http://www.swguides.com/,
group44,run44a,725,102,19,Compound,description,http://www.compoundrestaurant.com/,
group44,run44a,725,102,20,High Desert Angler,description,http://www.highdesertangler.com/,
group44,run44a,725,102,21,SITE Santa Fe,description,http://www.sitesantafe.org/,
group44,run44a,725,102,22,Shidoni Foundry,description,http://www.shidoni.com/,
group44,run44a,725,102,23,Cowgirl,description,http://www.cowgirlsantafe.com/,
group44,run44a,725,102,24,Santacaf??,description,http://www.santacafe.com/,
group44,run44a,725,102,25,Second Street Brewery,description,http://www.secondstreetbrewery.com/,
group44,run44a,725,102,26,Tesuque Village Market,description,http://www.tesuquevillagemarket.com/,
group44,run44a,725,102,27,Canyon Rd,description,http://www.canyonroadarts.com/,
group44,run44a,725,102,28,Ristra,description,http://www.ristrarestaurant.com/,
group44,run44a,725,102,29,Gerald Peters Gallery,description,http://www.gpgallery.com/,
group44,run44a,725,102,30,Namb?? Foundry Outlet,description,http://www.nambe.com/,
group44,run44a,725,102,31,Travel Bug,description,http://www.mapsofnewmexico.com/,
group44,run44a,725,102,32,Seret & Sons,description,http://www.seretandsons.com/,
group44,run44a,725,102,33,Nedra Matteucci Galleries,description,http://www.matteucci.com/,
group44,run44a,725,102,34,Museum of Contemporary Native Arts,description,http://www.iaia.edu/museum,
group44,run44a,725,102,35,Santa Fe Chamber Music Festival,description,http://www.sfcmf.org/,
group44,run44a,725,102,36,Jackalope,description,http://www.jackalope.com/,
group44,run44a,725,102,37,Santa Fe Baking Company,description,http://www.santafebakingcompanycafe.com/,
group44,run44a,725,102,38,Wheelwright Museum of the American Indian,description,http://www.wheelwright.org/,
group44,run44a,725,102,39,Santa Fe Clay,description,http://www.santafeclay.com/,
group44,run44a,725,102,40,Ten Thousand Waves,description,http://www.tenthousandwaves.com/,
group44,run44a,725,102,41,Rodeo de Santa Fe,description,http://www.rodeodesantafe.org/,
group44,run44a,725,102,42,Santa Fe Desert Chorale,description,http://www.desertchorale.org/,
group44,run44a,725,102,43,Harry's Roadhouse,description,http://www.harrysroadhousesantafe.com/,
group44,run44a,725,102,44,Kowboyz,description,http://www.kowboyz.com/,
group44,run44a,725,102,45,Nathalie,description,http://www.nathaliesantafe.com/,
group44,run44a,725,102,46,Tea House,description,http://www.teahousesantafe.com/,
group44,run44a,725,102,47,The Den,description,http://www.coyotecafe.com,
group44,run44a,725,102,48,Del Charro Saloon,description,http://delcharro.com,
group44,run44a,725,102,49,Jambo Cafe,description,http://www.jambocafe.net,
group44,run44a,725,102,50,Ballroom Dance Chicago,description,http://www.ballroomdancechicago.com,
group44,run44a,726,101,1,Millennium Park,description,http://www.millenniumpark.org/,
group44,run44a,726,101,2,Topolobampo/Frontera Grill,description,http://www.rickbayless.com/,
group44,run44a,726,101,3,Alinea,description,http://www.alinearestaurant.com/,
group44,run44a,726,101,4,Willis Tower,description,http://www.the-skydeck.com/,
group44,run44a,726,101,5,Billy Goat Tavern,description,http://www.billygoattavern.com/,
group44,run44a,726,101,6,Hot Doug's,description,http://www.hotdougs.com/,
group44,run44a,726,101,7,Little Goat,description,http://www.littlegoatchicago.com/,
group44,run44a,726,101,8,Art Institute of Chicago,description,http://www.artic.edu/,
group44,run44a,726,101,9,Longman & Eagle,description,http://www.longmanandeagle.com/,
